Song,id,danceability,energy,valence,ratings
Mindfulness,3EQPb4sdkNPCHb6AMyUTXj,0.692,0.00643,0.16,0
Story Of A Violin,3JjPOBCCKmvtgSsVIDqFDl,0.548,0.864,0.161,0
Unintended,6kyxQuFD38mo4S3urD2Wkw,0.487,0.279,0.162,0
coeur noir,0JsYp2UosjQpePYbHCvXWZ,0.235,0.233,0.164,0
Eidolon,6KuzTwyczjBp1C4f60Y5ID,0.553,0.24,0.164,0
23,4HIwL9ii9CcXpTOTzMq0MP,0.381,0.832,0.166,0
Cursive,5Iy1wdO0tMaHwKnfFYtlel,0.494,0.267,0.166,0
Sintra,0b6iQfSLnYGz5VCzwndLz9,0.395,0.147,0.167,0
Boiler,5UaOg4eymp98fxKyx6SHmB,0.443,0.722,0.167,0
Billinghurst,6B2jQL05apmJlDZtPIxD3R,0.769,0.701,0.168,0
Rayons de soleil,13SBuUaDElB4vowkW6nQxk,0.315,0.102,0.169,0
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",4QNjuUkLHj47tEXgA6TFc3,0.274,0.00332,0.17,0
Falling Away from Me,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,0.17,0
Dancing With an Astronaut,43cElHKBLhVdsz0cPETPIj,0.516,0.407,0.17,0
Teardrop - Remastered 2006,1ZekzmhuM380sFcUZePjmL,0.612,0.463,0.17,0
Universe,0VrJzyZPEkz3VliJoU3w6A,0.623,0.134,0.171,0
Keep Going,4Hhup3YZfajcC7O0DNbwCq,0.385,0.305,0.172,0
A Burden to Bear,67DOFCrkcQaLp5yhzF8Y8N,0.394,0.0475,0.172,0
Beekweide,199PI6mx1IFrDk8ZMtNTyX,0.321,0.11,0.173,0
K.,6vG1pcmNGdG6Vu62I9nLGL,0.348,0.226,0.173,0
Curiosity,3WEdWvAScE1EcBfErseQnC,0.43,0.256,0.173,0
Light Years,0dcKsPZVWa64MvnoCes49q,0.544,0.316,0.173,0
blue,7pt64sepCy5QmDrgy9wOJS,0.725,0.258,0.173,0
Frozen,4nTeeVQnNghbWWo6k7oPrH,0.352,0.0246,0.174,0
Snowfall,51USOvxeXLH3EvL3RwWJp7,0.437,0.0747,0.175,0
Tilted Towers,5hdAQegqnitMjNacfLOHQd,0.702,0.842,0.175,0
Shifts Of Light,0KN1zd8K3MTPQyix892mCf,0.455,0.216,0.179,0
It Takes Me Back,07FUh3cxCPNQFIIp8aSWCy,0.487,0.111,0.179,0
Midnight Sun,6qTP59Amjny78Qd8zayuNW,0.614,0.98,0.179,0
Harvest Love,2KK7OUblFkd7TT9TjWgW7z,0.276,0.251,0.18,0
Video Games - Remastered,0fBSs3fRoh1yJcne77fdu9,0.236,0.249,0.181,0
Bye Bye Little House,7AQKjpzLGVBKvTDyoJ7YVK,0.31,0.0313,0.182,0
While the Rest of the World Sleeps,4Hi0t9QQODb9k3aSM8SFb6,0.423,0.0442,0.182,0
Hollowman,3MOdqpj30w4Wk96bBwLJk9,0.502,0.92,0.182,0
Before You Go,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,0.183,0
"John Wayne Gacy, Jr.",2gFBh7NnEfSeBoZZDB5d2C,0.463,0.179,0.183,0
One More Night,0Ov2L3hgjc5TlxKuBpKOQK,0.62,0.897,0.183,0
Samson,2bbhyUWJ5VjdfI3P4PRLu2,0.49,0.193,0.184,0
Wish I Was Better,1kAkUHFb7ryeVkVSRD6Nkj,0.732,0.304,0.185,0
Everybody Hurts,0sSxUKtpE11r5VVx1DIMww,0.282,0.476,0.186,0
Goodbye,4VxaUj96W2jw9UOtKHu51p,0.484,0.457,0.187,0
Andromeda,0L6lVIgGqVHnmR3BIy8GHa,0.463,0.462,0.189,0
Summer-Blink,66epoq09V61hukB4Sdm3Q4,0.491,0.599,0.189,0
Transatlanticism,3PJikMV2xGNCooQttQrAw5,0.443,0.466,0.19,0
The Calvary Cross,65IP0rTvP6hFkIUNODG2VK,0.661,0.425,0.19,0
Quick Canal (W/ Laetita 3ier),2mJhNvt2dDCfcNn8IZg6sF,0.299,0.541,0.191,0
Escaping Time,7JrSIPcfkWhDzxWII8Jz7V,0.32,0.256,0.191,0
yellow is the color of her eyes,4D3nttJPU6L0M2epr7sId6,0.452,0.515,0.191,0
When They Come,100jBpD7nuiMriR7ErXQ9S,0.501,0.378,0.193,0
ID8,2jxfHzOYVLmGKejNRHvqoc,0.576,0.948,0.193,0
Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,0.193,0
Duality,61mWefnWQOLf90gepjOCb3,0.354,0.982,0.194,0
Say Days Ago,0fcGdkaMVaJtPuYLB6bXRx,0.362,0.979,0.195,0
Away From Me,4wzaTdhmBgpch7IXu3CskA,0.396,0.93,0.195,0
Found,2T2EemW8X3GlKvJe1gxpBC,0.517,0.397,0.195,0
Falling Asleep,1FunUekKzZ9Mgt3BMYCrfF,0.537,0.201,0.196,0
Retrospectacular,58Z8R4KZPbfTc6KVYZLwTb,0.368,0.293,0.197,0
Stormy Weather,7oXWUVH2t0UR11AvhhY8GQ,0.444,0.382,0.197,0
when the party's over,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,0.198,0
Oceans,7Cia4WzapwjMr0NUQF8vf3,0.404,0.48,0.2,0
Older Than I Am,15VDHAMS4JCLziCjNkmQl1,0.44,0.306,0.201,0
As I Sleep (feat. Charlee),72qlZsoVPpyFxVjL6GUuYI,0.694,0.824,0.202,0
Paradise,6nek1Nin9q48AVZcWs9e9D,0.449,0.585,0.203,0
Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,0.572,0.934,0.204,0
Trees - Solo Piano,2SDxYHBST2s6dGodsgnNbM,0.282,0.0717,0.206,0
