Song,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,ratings
Supersonic (feat. Christian Burns),2d0UsAbvuAiCyR4oV6fiOq,0.00814,0.34,245783,0.923,0.000829,0,0.385,-3.864,0.131,127.789,0.13,0
Night,7D04SRPxcqHXjoK0YFPuAq,0.995,0.428,192941,0.00129,0.955,0,0.0913,-32.837,0.0753,67.645,0.13,0
Fleur février,16A82OAjqWawjDM8K5HCdm,0.985,0.428,253904,0.0517,0.945,3,0.11,-21.74,0.0548,111.311,0.13,0
From Yesterday,4ogyT8HqLV6IdCepscSkh3,0.00578,0.467,245933,0.876,0.00592,10,0.0453,-4.841,0.0693,135.055,0.131,0
Woodland Heart,1z7GhYG0KqAmebdLfuoYho,0.84,0.516,160105,0.177,0.817,3,0.135,-20.473,0.0312,94.994,0.132,0
The Disappearance of the Unmoved Mover,62uEGHla1SOT2rhVAyMn6K,0.879,0.627,269296,0.427,0.878,11,0.0977,-11.498,0.0283,112.043,0.132,0
Heavenly,0M6TLjxixptslrmQpWbRoR,0.617,0.539,288594,0.432,0.692,8,0.11,-9.298,0.0249,105.196,0.133,0
Colgando,2dVvMXDWBY0U7VjCjOjVH9,0.948,0.567,268800,0.39,0.966,0,0.0802,-13.701,0.0301,99.997,0.133,0
Falling Ashes,6Zr0mt1HdVUwTEdMwqPXsC,0.954,0.332,480758,0.255,0.752,9,0.0784,-13.698,0.0309,187.786,0.134,0
No More 54,7LgkgNtOYgWfSJsGgDXFop,0.000492,0.541,196273,0.967,0.676,1,0.103,-5.682,0.0529,126.026,0.134,0
Blow,4nX11Rjdh7AuM8Ezb73m1R,0.0186,0.603,165000,0.902,0.683,5,0.105,-5.979,0.0494,127.973,0.135,0
